Common name;Scientific name;Status;No.;No. Back
Cinnamon-sided Hummingbird;Amazilia wagneri;;2;0
Glittering-throated Emerald;Amazilia fimbriata;;81;32
Sapphire-spangled Emerald;Amazilia lactea;;47;11
Blue-chested Hummingbird;Amazilia amabilis;;53;6
Charming Hummingbird;Amazilia decora;;18;1
Purple-chested Hummingbird;Amazilia rosenbergi;;28;6
Mangrove Hummingbird;Amazilia boucardi;;9;0
Honduran Emerald;Amazilia luciae;;15;0
Steely-vented Hummingbird;Amazilia saucerottei;;16;11
Indigo-capped Hummingbird;Amazilia cyanifrons;;21;1
Snowy-bellied Hummingbird;Amazilia edward;;9;6
Berylline Hummingbird;Amazilia beryllina;;64;27
Blue-tailed Hummingbird;Amazilia cyanura;;3;0
Blue-vented Hummingbird;Amazilia hoffmanni;;6;0
Green-bellied Hummingbird;Amazilia viridigaster;;6;0
Copper-rumped Hummingbird;Amazilia tobaci;;12;8
Snowcap;Microchera albocoronata;;5;0
Santa Marta Blossomcrown;Anthocephala floriceps;;7;1
Tolima Blossomcrown;Anthocephala berlepschi;;7;0
White-vented Plumeleteer;Chalybura buffonii;;25;4
Bronze-tailed Plumeleteer;Chalybura urochrysia;;16;4
Blue-throated Mountaingem;Lampornis clemenciae;;113;114
Amethyst-throated Mountaingem;Lampornis amethystinus;;16;2
Green-throated Mountaingem;Lampornis viridipallens;;14;4
Green-breasted Mountaingem;Lampornis sybillae;;26;9
White-bellied Mountaingem;Lampornis hemileucus;;5;0
Purple-throated Mountaingem;Lampornis calolaemus;;4;0
White-throated Mountaingem;Lampornis castaneoventris;;3;0
Grey-tailed Mountaingem;Lampornis cinereicauda;;4;0
Xantus's Hummingbird;Basilinna xantusii;;14;2
White-eared Hummingbird;Basilinna leucotis;;72;69
Garnet-throated Hummingbird;Lamprolaima rhami;;4;0
Speckled Hummingbird;Adelomyia melanogenys;;133;31
Ecuadorian Piedtail;Phlogophilus hemileucurus;;27;7
Peruvian Piedtail;Phlogophilus harterti;;3;0
Brazilian Ruby;Clytolaema rubricauda;;47;7
Velvet-browed Brilliant;Heliodoxa xanthogonys;;5;0
Pink-throated Brilliant;Heliodoxa gularis;;5;0
Rufous-webbed Brilliant;Heliodoxa branickii;;1;0
Black-throated Brilliant;Heliodoxa schreibersii;;14;0
Gould's Jewelfront;Heliodoxa aurescens;;8;0
Fawn-breasted Brilliant;Heliodoxa rubinoides;;27;1
Green-crowned Brilliant;Heliodoxa jacula;;18;1
Empress Brilliant;Heliodoxa imperatrix;;10;0
Violet-fronted Brilliant;Heliodoxa leadbeateri;;24;9
Rivoli's Hummingbird;Eugenes fulgens;;105;50
Talamanca Hummingbird;Eugenes spectabilis;;14;0
Scissor-tailed Hummingbird;Hylonympha macrocerca;;7;0
Violet-chested Hummingbird;Sternoclyta cyanopectus;;1;0
Rufous-gaped Hillstar;Urochroa bougueri;;3;2
Green-backed Hillstar;Urochroa leucura;;7;0
Buff-tailed Coronet;Boissonneaua flavescens;;47;6
Chestnut-breasted Coronet;Boissonneaua matthewsii;;19;4
Velvet-purple Coronet;Boissonneaua jardini;;21;0
Shining Sunbeam;Aglaeactis cupripennis;;9;2
Purple-backed Sunbeam;Aglaeactis aliciae;;9;0
White-tufted Sunbeam;Aglaeactis castelnaudii;;2;0
Black-hooded Sunbeam;Aglaeactis pamela;;5;1
Ecuadorian Hillstar;Oreotrochilus chimborazo;;7;0
Andean Hillstar;Oreotrochilus estella;;27;0
White-sided Hillstar;Oreotrochilus leucopleurus;;3;0
Black-breasted Hillstar;Oreotrochilus melanogaster;;4;1
Wedge-tailed Hillstar;Oreotrochilus adela;;10;0
Mountain Velvetbreast;Lafresnaya lafresnayi;;20;1
Bronzy Inca;Coeligena coeligena;;22;2
Brown Inca;Coeligena wilsoni;;29;18
Black Inca;Coeligena prunellei;;15;0
Collared Inca;Coeligena torquata;;12;1
White-tailed Starfrontlet;Coeligena phalerata;;3;0
Golden-bellied Starfrontlet;Coeligena bonapartei;;8;2
Dusky Starfrontlet;Coeligena orina;;5;0
Blue-throated Starfrontlet;Coeligena helianthea;;3;0
Buff-winged Starfrontlet;Coeligena lutetiae;;32;14
Violet-throated Starfrontlet;Coeligena violifer;;13;6
Rainbow Starfrontlet;Coeligena iris;;22;2
Sword-billed Hummingbird;Ensifera ensifera;;10;0
Great Sapphirewing;Pterophanes cyanopterus;;10;0
Giant Hummingbird;Patagona gigas;;47;4
Green-backed Firecrown;Sephanoides sephaniodes;;36;17
Juan Fernandez Firecrown;Sephanoides fernandensis;;11;0
Orange-throated Sunangel;Heliangelus mavors;;5;0
Amethyst-throated Sunangel;Heliangelus amethysticollis;;13;4
Longuemare's Sunangel;Heliangelus clarisse;;16;1
Merida Sunangel;Heliangelus spencei;;4;0
Gorgeted Sunangel;Heliangelus strophianus;;8;1
Tourmaline Sunangel;Heliangelus exortis;;19;1
Flame-throated Sunangel;Heliangelus micraster;;7;0
Purple-throated Sunangel;Heliangelus viola;;17;0
Royal Sunangel;Heliangelus regalis;;9;0
Black-breasted Puffleg;Eriocnemis nigrivestis;;4;0
Gorgeted Puffleg;Eriocnemis isabellae;;0;0
Glowing Puffleg;Eriocnemis vestita;;7;1
Black-thighed Puffleg;Eriocnemis derbyi;;7;0
Turquoise-throated Puffleg;Eriocnemis godini;;0;0
Coppery-bellied Puffleg;Eriocnemis cupreoventris;;5;0
Sapphire-vented Puffleg;Eriocnemis luciani;;9;0
Golden-breasted Puffleg;Eriocnemis mosquera;;1;0
Blue-capped Puffleg;Eriocnemis glaucopoides;;1;1
Colorful Puffleg;Eriocnemis mirabilis;;3;0
Emerald-bellied Puffleg;Eriocnemis aline;;5;0
Greenish Puffleg;Haplophaedia aureliae;;20;3
Buff-thighed Puffleg;Haplophaedia assimilis;;6;0
Hoary Puffleg;Haplophaedia lugens;;8;0
Purple-bibbed Whitetip;Urosticte benjamini;;16;0
Rufous-vented Whitetip;Urosticte ruficrissa;;10;0
White-booted Racket-tail;Ocreatus underwoodii;;46;28
Peruvian Racket-tail;Ocreatus peruanus;;8;6
Rufous-booted Racket-tail;Ocreatus addae;;3;2
Black-tailed Trainbearer;Lesbia victoriae;;29;13
Green-tailed Trainbearer;Lesbia nuna;;20;1
Red-tailed Comet;Sappho sparganurus;;32;5
Bronze-tailed Comet;Polyonymus caroli;;5;0
Black-backed Thornbill;Ramphomicron dorsale;;4;0
Purple-backed Thornbill;Ramphomicron microrhynchum;;21;2
Bearded Mountaineer;Oreonympha nobilis;;4;1
Green-bearded Helmetcrest;Oxypogon guerinii;;6;0
Blue-bearded Helmetcrest;Oxypogon cyanolaemus;;1;0
White-bearded Helmetcrest;Oxypogon lindenii;;3;0
Buffy Helmetcrest;Oxypogon stuebelii;;11;0
Tyrian Metaltail;Metallura tyrianthina;;159;41
Perija Metaltail;Metallura iracunda;;3;0
Viridian Metaltail;Metallura williami;;19;1
Violet-throated Metaltail;Metallura baroni;;5;0
Neblina Metaltail;Metallura odomae;;13;1
Coppery Metaltail;Metallura theresiae;;7;2
Fiery-throated Metaltail;Metallura eupogon;;2;0
Scaled Metaltail;Metallura aeneocauda;;5;2
Black Metaltail;Metallura phoebe;;7;0
Rufous-capped Thornbill;Chalcostigma ruficeps;;6;1
Olivaceous Thornbill;Chalcostigma olivaceum;;1;0
Blue-mantled Thornbill;Chalcostigma stanleyi;;15;1
Bronze-tailed Thornbill;Chalcostigma heteropogon;;5;1
Rainbow-bearded Thornbill;Chalcostigma herrani;;6;0
Mountain Avocetbill;Opisthoprora euryptera;;5;0
Grey-bellied Comet;Taphrolesbia griseiventris;;4;0
Long-tailed Sylph;Aglaiocercus kingii;;27;3
Venezuelan Sylph;Aglaiocercus berlepschi;;2;0
Violet-tailed Sylph;Aglaiocercus coelestis;;28;4
Hyacinth Visorbearer;Augastes scutatus;;21;1
Hooded Visorbearer;Augastes lumachella;;26;1
Geoffroy's Wedgebill;Schistes geoffroyi;;14;3
White-throated Wedgebill;Schistes albogularis;;29;0
Purple-crowned Fairy;Heliothryx barroti;;8;0
Black-eared Fairy;Heliothryx auritus;;13;0
Horned Sungem;Heliactin bilophus;;13;0
Marvelous Spatuletail;Loddigesia mirabilis;;3;0
Plain-capped Starthroat;Heliomaster constantii;;31;6
Long-billed Starthroat;Heliomaster longirostris;;17;4
Stripe-breasted Starthroat;Heliomaster squamosus;;7;0
Blue-tufted Starthroat;Heliomaster furcifer;;11;0
Oasis Hummingbird;Rhodopis vesper;;7;1
Peruvian Sheartail;Thaumastura cora;;8;4
Sparkling-tailed Woodstar;Tilmatura dupontii;;1;0
Slender Sheartail;Doricha enicura;;4;0
Mexican Sheartail;Doricha eliza;;4;0
Amethyst Woodstar;Calliphlox amethystina;;8;0
Bahama Woodstar;Calliphlox evelynae;;2;0
Inagua Woodstar;Calliphlox lyrura;;0;0
Magenta-throated Woodstar;Calliphlox bryantae;;2;0
Purple-throated Woodstar;Calliphlox mitchellii;;5;0
Slender-tailed Woodstar;Microstilbon burmeisteri;;3;1
Lucifer Sheartail;Calothorax lucifer;;26;3
Beautiful Sheartail;Calothorax pulcher;;9;3
Vervain Hummingbird;Mellisuga minima;;9;0
Bee Hummingbird;Mellisuga helenae;;13;0
Ruby-throated Hummingbird;Archilochus colubris;;43;18
Black-chinned Hummingbird;Archilochus alexandri;;87;119
Anna's Hummingbird;Calypte anna;;183;153
Costa's Hummingbird;Calypte costae;;35;20
Bumblebee Hummingbird;Atthis heloisa;;17;4
Wine-throated Hummingbird;Atthis ellioti;;15;0
Purple-collared Woodstar;Myrtis fanny;;29;12
Chilean Woodstar;Eulidia yarrellii;;5;1
Short-tailed Woodstar;Myrmia micrura;;11;0
White-bellied Woodstar;Chaetocercus mulsant;;16;3
Little Woodstar;Chaetocercus bombus;;11;0
Gorgeted Woodstar;Chaetocercus heliodor;;7;0
Santa Marta Woodstar;Chaetocercus astreans;;2;0
Esmeraldas Woodstar;Chaetocercus berlepschi;;6;0
Rufous-shafted Woodstar;Chaetocercus jourdanii;;0;0
Broad-tailed Hummingbird;Selasphorus platycercus;;116;175
Rufous Hummingbird;Selasphorus rufus;;79;23
Allen's Hummingbird;Selasphorus sasin;;29;12
Volcano Hummingbird;Selasphorus flammula;;8;1
Glow-throated Hummingbird;Selasphorus ardens;;0;0
Scintillant Hummingbird;Selasphorus scintilla;;6;0
Calliope Hummingbird;Selasphorus calliope;;26;1
Speckled Mousebird;Colius striatus;;61;29
White-headed Mousebird;Colius leucocephalus;;4;0
Red-backed Mousebird;Colius castanotus;;0;0
White-backed Mousebird;Colius colius;;23;6
Blue-naped Mousebird;Urocolius macrourus;;33;38
Red-faced Mousebird;Urocolius indicus;;27;56
Eared Quetzal;Euptilotis neoxenus;;22;0
Pavonine Quetzal;Pharomachrus pavoninus;;63;129
Golden-headed Quetzal;Pharomachrus auriceps;;131;88
White-tipped Quetzal;Pharomachrus fulgidus;;37;5
Resplendent Quetzal;Pharomachrus mocinno;;63;23
Crested Quetzal;Pharomachrus antisianus;;56;29
Cuban Trogon;Priotelus temnurus;;9;17
Hispaniolan Trogon;Priotelus roseigaster;;9;4
Lattice-tailed Trogon;Trogon clathratus;;14;2
Slaty-tailed Trogon;Trogon massena;;83;73
Choco Trogon;Trogon comptus;;39;27
Ecuadorian Trogon;Trogon mesurus;;18;23
Black-tailed Trogon;Trogon melanurus;;158;275
Black-headed Trogon;Trogon melanocephalus;;49;19
Citreoline Trogon;Trogon citreolus;;32;73
White-tailed Trogon;Trogon chionurus;;97;45
Baird's Trogon;Trogon bairdii;;31;14
Green-backed Trogon;Trogon viridis;;259;372
Gartered Trogon;Trogon caligatus;;125;108
Amazonian Trogon;Trogon ramonianus;;62;102
Guianan Trogon;Trogon violaceus;;51;44
Blue-crowned Trogon;Trogon curucui;;114;143
Surucua Trogon;Trogon surrucura;;145;166
Black-throated Trogon;Trogon rufus;;233;156
Elegant Trogon;Trogon elegans;;140;488
Mountain Trogon;Trogon mexicanus;;72;134
Collared Trogon;Trogon collaris;;280;297
Masked Trogon;Trogon personatus;;191;93
Narina Trogon;Apaloderma narina;;65;23
Bare-cheeked Trogon;Apaloderma aequatoriale;;8;3
Bar-tailed Trogon;Apaloderma vittatum;;64;67
Javan Trogon;Apalharpactes reinwardtii;;11;0
Sumatran Trogon;Apalharpactes mackloti;;5;1
Malabar Trogon;Harpactes fasciatus;;17;1
Red-naped Trogon;Harpactes kasumba;;59;7
Diard's Trogon;Harpactes diardii;;48;9
Philippine Trogon;Harpactes ardens;;16;0
Whitehead's Trogon;Harpactes whiteheadi;;12;1
Cinnamon-rumped Trogon;Harpactes orrhophaeus;;20;2
Scarlet-rumped Trogon;Harpactes duvaucelii;;39;10
Orange-breasted Trogon;Harpactes oreskios;;69;10
Red-headed Trogon;Harpactes erythrocephalus;;50;5
Ward's Trogon;Harpactes wardi;;15;2
Cuckoo Roller;Leptosomus discolor;;37;24
Purple Roller;Coracias naevius;;5;1
Indian Roller;Coracias benghalensis;;40;2
Purple-winged Roller;Coracias temminckii;;10;0
Racket-tailed Roller;Coracias spatulatus;;9;1
Lilac-breasted Roller;Coracias caudatus;;35;6
Abyssinian Roller;Coracias abyssinicus;;29;6
European Roller;Coracias garrulus;;73;11
Blue-bellied Roller;Coracias cyanogaster;;7;0
Blue-throated Roller;Eurystomus gularis;;8;0
Broad-billed Roller;Eurystomus glaucurus;;61;19
Oriental Dollarbird;Eurystomus orientalis;;77;11
Azure Dollarbird;Eurystomus azureus;;7;0
Short-legged Ground Roller;Brachypteracias leptosomus;;11;0
Scaly Ground Roller;Geobiastes squamiger;;12;0
Pitta-like Ground Roller;Atelornis pittoides;;13;0
Rufous-headed Ground Roller;Atelornis crossleyi;;17;0
Long-tailed Ground Roller;Uratelornis chimaera;;5;0
Green-backed Kingfisher;Actenoides monachus;;23;7
Scaly-breasted Kingfisher;Actenoides princeps;;8;0
Moustached Kingfisher;Actenoides bougainvillei;;8;0
Spotted Wood Kingfisher;Actenoides lindsayi;;30;0
Hombron's Kingfisher;Actenoides hombroni;;22;0
Rufous-collared Kingfisher;Actenoides concretus;;44;3
Hook-billed Kingfisher;Melidora macrorrhina;;38;4
Banded Kingfisher;Lacedo pulchella;;48;2
Common Paradise Kingfisher;Tanysiptera galatea;;65;21
Kofiau Paradise Kingfisher;Tanysiptera ellioti;;0;0
Biak Paradise Kingfisher;Tanysiptera riedelii;;13;0
Numfor Paradise Kingfisher;Tanysiptera carolinae;;6;0
Little Paradise Kingfisher;Tanysiptera hydrocharis;;6;0
Buff-breasted Paradise Kingfisher;Tanysiptera sylvia;;18;16
Black-capped Paradise Kingfisher;Tanysiptera nigriceps;;6;0
Red-breasted Paradise Kingfisher;Tanysiptera nympha;;7;0
Brown-headed Paradise Kingfisher;Tanysiptera danae;;13;0
Lilac Kingfisher;Cittura cyanotis;;7;5
Shovel-billed Kookaburra;Clytoceyx rex;;12;1
Laughing Kookaburra;Dacelo novaeguineae;;43;62
Blue-winged Kookaburra;Dacelo leachii;;41;18
Spangled Kookaburra;Dacelo tyro;;2;0
Rufous-bellied Kookaburra;Dacelo gaudichaud;;25;11
Glittering Kingfisher;Caridonax fulgidus;;14;0
Stork-billed Kingfisher;Pelargopsis capensis;;118;13
Great-billed Kingfisher;Pelargopsis melanorhyncha;;4;0
Brown-winged Kingfisher;Pelargopsis amauroptera;;11;0
Ruddy Kingfisher;Halcyon coromanda;;117;8
White-throated Kingfisher;Halcyon smyrnensis;;176;56
Javan Kingfisher;Halcyon cyanoventris;;9;0
Chocolate-backed Kingfisher;Halcyon badia;;22;5
Black-capped Kingfisher;Halcyon pileata;;12;0
Grey-headed Kingfisher;Halcyon leucocephala;;41;10
Brown-hooded Kingfisher;Halcyon albiventris;;48;16
Striped Kingfisher;Halcyon chelicuti;;27;4
Blue-breasted Kingfisher;Halcyon malimbica;;63;27
Woodland Kingfisher;Halcyon senegalensis;;79;65
Mangrove Kingfisher;Halcyon senegaloides;;8;0
Blue-black Kingfisher;Todiramphus nigrocyaneus;;22;6
Winchell's Kingfisher;Todiramphus winchelli;;17;1
Blue-and-white Kingfisher;Todiramphus diops;;4;1
Lazuli Kingfisher;Todiramphus lazuli;;3;0
Forest Kingfisher;Todiramphus macleayii;;17;6
White-mantled Kingfisher;Todiramphus albonotatus;;5;6
Ultramarine Kingfisher;Todiramphus leucopygius;;10;0
Vanuatu Kingfisher;Todiramphus farquhari;;3;1
Sombre Kingfisher;Todiramphus funebris;;20;4
Collared Kingfisher;Todiramphus chloris;;95;40
Torresian Kingfisher;Todiramphus sordidus;;11;2
Islet Kingfisher;Todiramphus colonus;;5;0
Mariana Kingfisher;Todiramphus albicilla;;3;0
Melanesian Kingfisher;Todiramphus tristrami;;17;7
Pacific Kingfisher;Todiramphus sacer;;16;2
Talaud Kingfisher;Todiramphus enigma;;2;0
Guam Kingfisher;Todiramphus cinnamominus;;0;0
Rusty-capped Kingfisher;Todiramphus pelewensis;;0;0
Pohnpei Kingfisher;Todiramphus reichenbachii;;3;0
Beach Kingfisher;Todiramphus saurophagus;;13;0
Sacred Kingfisher;Todiramphus sanctus;;45;43
Flat-billed Kingfisher;Todiramphus recurvirostris;;3;1
Cinnamon-banded Kingfisher;Todiramphus australasia;;34;1
Chattering Kingfisher;Todiramphus tutus;;9;4
Mewing Kingfisher;Todiramphus ruficollaris;;2;0
Society Kingfisher;Todiramphus veneratus;;3;0
Mangareva Kingfisher;Todiramphus gambieri;Extinct;0;0
Niau Kingfisher;Todiramphus gertrudae;;0;0
Marquesan Kingfisher;Todiramphus godeffroyi;;1;0
Red-backed Kingfisher;Todiramphus pyrrhopygius;;8;8
Yellow-billed Kingfisher;Syma torotoro;;48;10
Mountain Kingfisher;Syma megarhyncha;;3;1
African Dwarf Kingfisher;Ispidina lecontei;;6;0
African Pygmy Kingfisher;Ispidina picta;;26;1
Madagascan Pygmy Kingfisher;Corythornis madagascariensis;;9;0
